Year,Books,Writers
2075 B.S,Ranahar,Yogesh Raj
2074 B.S,Yogmaya,Neelam Karki Niharika
2073 B.S,Dhritarashtra,Ghanashyam Kandel
2072 B.S,Aina,Ramlal Joshi 
2071 B.S,Khusi,Vijay Kumar Pandey 
2070 B.S,Khalangama Hamala,Radha Paudel
2069 B.S,Damini Bhir,Rajan Mukarung
2068 B.S,Seto Dharti,Amar Neupane
2067 B.S,Jiwan Kada Ki Phool,Jhamak Ghimire
2066 B.S,Nepalka Baalinaali Ra Tinko Digo Bikash,Nar Bahadur Saud
2065 B.S,Ek Haatko Taali,Yubraj Nayaghare
2064 B.S,Antarmanko Yatra,Jagadish Ghimire
2063 B.S,Chhapamar ko Chhoro,Mahesh Bikram Shah
2062 B.S,Radha,Krishna Dharabasi
2061 B.S,Palpasa Cafe,Narayan Wagle
2060 B.S,Naya Ishwor Ko Ghosana,Gopal Parajuli
2058 B.S,Avinav Sanskrit Kosh,Hariram Joshi
2057 B.S,Nepalko Simana,Buddhi Narayan Shrestha
2056 B.S,Atirikta Avilekh,Dinesh Adhikari
2055 B.S,Dukhanta Natak ko Srijana Parampara,Dr. Keshab Prasad Upadyaya
2054 B.S,Bisarjan,Lokendra Bahadur Chand
2053 B.S,Nepali Rastrya Jhanda,Dr. Dayaram Shrestha
2052 B.S,Yojanagandha,Binod Prasad Dhital
2051 B.S,Sahi Shabda,Father William Bourke SJ
2050 B.S,Madhyamik Nepali Gadhyakhan,Sarad Chandra Sharma Bhattarai
2049 B.S,Palpama Prajatantrik Andolanka Sayadin 2007 B.S,Dr. Bhabeshwor Pangeni
2048 B.S,Pagal Basti,Saru Bhakta
2047 B.S,Mirtujanya Mahakabya,Bhanu Bhakta Pokhrel
2046 B.S,Nepalko Prajatantrik Andolanma Nepal Prajaparisadko Bhumika,Dr. Rajesh Gautam
2045 B.S,"Jyoti, Jyoti, Mahajyoti",Daulat Bikram Bista
2044 B.S,Utsarga Prem,Rajeshwor Devkota
2043 B.S,Likchhabi Sambatko Nirnaya,Nayaraj Panta
2042 B.S,Baikuntha Express,Mohanraj Sharma
2041 B.S,Pratyagaman,Kanchan Pudasaini
2040 B.S,Alikhit,Dr. Dhruba Chandra Gautam
2039 B.S,Madhabi,Madan Mani Dixit
2038 B.S,Nadi Kinarka Majhi,Mohan Koirala
2037 B.S,Narsingh Avatar,Jagdish Shumsher Rana
2036 B.S,Nepalka Paramparagat Pravidhi,"Dr. Chabilal Gajurel, Karunakar Baidhya"
2035 B.S,Ghamka Pailaharu,Dhanush Chandra Gotame
2034 B.S,Lekhnath Poudhyalko Kabitwako Bisleshand Tatha Mulyakan,Dr. Basudev Tripathi
2032 B.S,Aagat,Bhawani Bhikshu
2030 B.S,Likchavi Kaalka Abhilekh,Dhanbajra Bajracharya
2029 B.S,Aagoka Phoolharu Hun Aagoka Phoolharu Hoinan,Ishwor Ballav
2028 B.S,Karnali Lok Sanskriti,"Pradip Rimal, Dr. Chudamani Bandhu. Bihari Krishna Shrestha. Sthirjunga Bahadur. Satyamohan Joshi"
2027 B.S,Nepali Nirwachanko Ruprekha,Mahananda Sapkota
2026 B.S,Belaet Tira Baralida,Taranath Sharma
2025 B.S,Mangali Kushum,Dharma Raj Thapa
2025 B.S,Tipan Tapan,Parasmani Pradhan
2024 B.S,Nepalko Chapakhana ra Patrapatrikako Itihas,Grishma Bahadur Devkota
2024 B.S,Abstract Chintan Pyaj,Shankar Lamichhane
2023 B.S,Manab Mahakabya,Modanath Prasrit
2023 B.S,Shrasta ra Sahitya,Uttam Kunwar
2022 B.S,Shiris Ko Phool,Parijat
2021 B.S,Bastra Nirmand Kala,Laxmi Bahadur Shrestha
2021 B.S,Prachin Hindu Arthashastra,Nabaraj Chalise
2021 B.S,Prakrit Pokhara,Mukunda Sharan Upadhyaya
2021 B.S,Nepali Bhasa ra Sahitya,Balkrishna Pokhrel
2020 B.S,Josamani Santa Parampara ra Sahitya,Janaklal Sharma
2020 B.S,Naisdhir Charit,Komalnath Adhikari
2019 B.S,Aamako Sapana,Gopal Prasad Rimal
2018 B.S,Naya Sadak Ko Geet,Ramesh Bikal
2017 B.S,Bishfot,Bhim Nidhi Tiwari
2017 B.S,Nelali Rastrya Mudra,Satyamohan Joshi
2016 B.S,Mahakabi Devkota,Nityaraj Pandey
2015 B.S,Udhyan,Ganga Bikram Sijapati
2015 B.S,Kabi Byathit ra Kabya Sadhana,Krishna Chandra Singh Pradhan
2014 B.S,Matrika Udhyog,Karunakar Maidhya
2014 B.S,Mann (novel),Leeladhwaj Thapa
2013 B.S,Adhikbibhav Sthirbidhoot Utpadhak,Balram Joshi
2013 B.S,General Bhimsen Thapa,Chitranjan Nepali
2013 B.S,Hamro Lok Sanskriti,Satyamohan Joshi
