SN,Peak,Height,Mountain Range,District/Province
1,Sagarmatha,8848,Khumbu/Mahalangur,Solukhumbu/1
2,Kanchangunja,8586,Kanchangunga,Taplejung/1
3,Lhotse,8516,Khumbu/Mahalangur,Solukhumbu/1
4,Makalu,8463,Kumbhakarna,Sankhuwasabha/1
5,Cho-yu,8201,Khumbu/Mahalangur,Solukhumbu/1
6,Dhaulagiri,8167,Dhaulagiri,"Myagdi, Mustang/Gandaki"
7,Manaslu,8163,Ganesh,Gorkha/Gandaki
8,Annapurna,8091,Annapurna,Kaski/Gandaki
9,Nuptse,7855,Khumbu/Mahalangur,Solukhumbu/1
10,Shanti peak,7591,Khumbu,Solukhumbu/1
11,Lanngtang Lirung,7234,Langtang,Rasuwa/3
12,Ganesh Himal,7163,Ganesh,"Gorkha, Dhading/3"
13,Pumori,7161,Khumbu/Mahalangur,Solukhumbu/1
14,Gaurishankar,7134,Rolwaling,Dolakha/3
15,Api,7132,Gurans,Darchula/Farwestern
16,Machhapuchre,6993,Annapurna,Kaski/Gandaki
17,Saipal,7031,Api Saipal,Bajhang/Farwestern
18,Kanjirowa,6883,Kanjirowa,Dolpa/Karnali
19,Amadablam,6812,Khumbu/Mahalangur,Solukhumbu/1
20,Jugal (Bhairab takura),6535,Jugal,Sindhupalchowk/3
21,Bhrikuti,6364,Damodar,Mustang/Gandaki
