Country,Game
Canada,"Laccrose (Summer), Ice hockey (Winter)"
Spain,"Bull fighting, Athletics"
Japan,"Ju-jitsu, Sumo"
China,Table tennis
Russia,"Basketball, Icehockey, Bandy (form of hockey)"
South Africa,"Cuba, Venezuala, Baseball"
"Nepal, Srilanka",Volleyball
Papua New Guinea,Rugby league
Maldives,Diving
Afganistan,Buzkashi
Newzealand,Rugby union
Norway,Cross country skeeing
"India, Pakistan",Hockey
Australia,Cricket
France,Football
Malasiya,Badminton
Bhutan,Archery
Indonesia,Kabaddi
Mongolia,Horse racing
"France, Brazil",Football
West Indies,Cricket
South Korea,Taek-wando
Srilanka,Volleyball
