# list of big power stations of world,,,,,,
# source: https://en.wikipedia.org/wiki/List_of_largest_power_stations,,,,,,
Rank,Station,Country,Capacity,Annual generation,Type,Notes
,,,(MW),(TWh),,
1,Three Gorges Dam, China,22500,93.5 (2016),Hydro,
2,Itaipu Dam, Brazil,14000,103.09 (2016),Hydro,
,, Paraguay,,,,
3,Xiluodu, China,13860,55.2 (2015),Hydro,
4,Belo Monte, Brazil,11233,39.5 (expected),Hydro,Installation of the 18th and final turbine was completed in November 2019.
5,Guri, Venezuela,10235,47 (average),Hydro,
6,Jebel Ali Power and Desalination Plant(German), United Arab Emirates,8695,?,Natural gas,Largest gas-fired power station since 2013.
7,Tucuruí, Brazil,8370,21.4 (average),Hydro,
-,Kashiwazaki-Kariwa, Japan,7965,60.3 (1999),Nuclear,Suspended in 2011. Restart date unknown.[Note 1]
,,,,0 (2012–2019),,
8,Jiuquan, China,7965,?,Wind,
9,Kori, South Korea,7411,43.15 (2016),Nuclear,Largest operational nuclear power station as of January 2020.
10,Grand Coulee, United States,6809,20.24 (average),Hydro,Largest power station in North America since 1949.
11,Tuoketuo, China,6720,33.32,Coal,Largest coal-fired power station since 2017.
12,Xiangjiaba, China,6448,30.7 (2015),Hydro,
13,Bruce, Canada,6430,49.02 (2017),Nuclear,"Uprated from 6,408MWe to 6,430MWe in July 2019, with a target capacity of 7,000MWe by mid-2033."
14,Longtan, China,6426,18.7 (estimate),Hydro,
15,Sayano-Shushenskaya, Russia,6400,26.9 (2016),Hydro,
16,Dangjin, South Korea,6040,?,Coal,
17,Krasnoyarsk, Russia,6000,18.4 (average),Hydro,
18,Yangjiang, China,6000,?,Nuclear,
19,Hanul, South Korea,5928,48.16,Nuclear,
20,Hanbit, South Korea,5875,47.62,Nuclear,
