Name of Trophy,Associated Sport
America's cup,Yacht Racing
Ashes,Cricket (England-Australia)
Asia Cup,Cricket
ATP Championship,Tennis
Australian Open,Tennis
Azar Cup,Polo
Azlan Shah Cup,Hockey
Benson and Hedges Trophy,Cricket
Canadian Open,Tennis
Champions Trophy,Hockey
Champions League,T 20 Cricket
ICC Champions Trophy,Cricket
Cincinnati Masters,Tennis
Colombo Cup,Football
Corbillion Cup,World Table Tennis (Womens)
Davis Cup,Tennis
Derby,Horse Racing
Dubai Open,Tennis
Euro Cup,Football
Evert Cup,Tennis
F A Cup,Football
Federation Cup,Tennis
FIFA World Cu,Football
French Open,Tennis
German Open,Tennis
Grand National,Horse Racing
Hall of Fame Championship,Tennis
Hambury Masters,Tennis
Heineken Open ATP Tour Event,Tennis
Hol Rar Trophy,Bridge
Hopman Cup,Tennis
India Satellite Open,Tennis
Indian Premier League,Cricket
Indira Gandhi International Gold Cup,Hockey
Italian Open,Tennis
Japan Open,Tennis
Jules Rimet Trophy,Football
King's Cup,Air Races (England)
Mercedes Benz Cup,Tennis
Merdeka,Football (Asian Cup)
Nasdaq 100 Open,Tennis
Natwest Trophy,Cricket
Nordic Light Open,Tennis
Presidents Cup,Football
Prince of Wales Cup,Golf (England)
Ryder Cup,Golf (England)
Schneider Cup,Seaplane Race (England)
Swaythling Cup,World Table Tennis (Men)
Thomas Cup,World Badminton (Men)
Tunku Abdul Rahman Cup,Asian Badminton
Uber Cup,World Badminton (Women)
UEFA Cup,Football
Virginia Long Corn Trophy,Boxing
Walker Cup,Golf (England)
WBA Title,Boxing
World Chess Championship,Chess
